symbol,marketcap,exchange,exchangeName
ALSAR,137652604.0,XNAS,Nasdaq All Markets
ALSAU,137652600.0,XNAS,Nasdaq All Markets
ALSN,5485860269.0,XNYS,New York Stock Exchange Inc
ALT,472545420.0,XNAS,Nasdaq All Markets
ALTG,356049232.0,XNYS,New York Stock Exchange Inc
ALTG-A,375877689.0,XNYS,New York Stock Exchange Inc
ALTI,345228940.0,XNAS,Nasdaq All Markets
ALTM,0.0,XNYS,New York Stock Exchange Inc
ALTO,149994027.0,XNAS,Nasdaq All Markets
ALTR,4796610000.0,XNAS,Nasdaq All Markets
ALTU,90820151.0,XNAS,Nasdaq All Markets
ALTUU,90820153.0,XNAS,Nasdaq All Markets
ALTUW,90820151.0,XNAS,Nasdaq All Markets
ALTY,34700700.0,XNAS,Nasdaq All Markets
ALUR,146086150.0,XNYS,New York Stock Exchange Inc
ALV,9109898422.0,XNYS,New York Stock Exchange Inc
ALVO,4179221361.0,XNAS,Nasdaq All Markets
ALVR,76758494.0,XNAS,Nasdaq All Markets
ALX,1102459619.0,XNYS,New York Stock Exchange Inc
ALXO,710416259.0,XNAS,Nasdaq All Markets
ALZN,6551047.0,XNAS,Nasdaq All Markets
AM,5655816270.0,XNYS,New York Stock Exchange Inc
AMAL,723063863.0,XNAS,Nasdaq All Markets
AMAM,1753998027.0,XNAS,Nasdaq All Markets
AMAT,151169033244.0,XNAS,Nasdaq All Markets
AMBA,2126305697.0,XNAS,Nasdaq All Markets
AMBC,711813958.0,XNYS,New York Stock Exchange Inc
AMBP,2202115126.0,XNYS,New York Stock Exchange Inc
AMC,883679981.0,XNYS,New York Stock Exchange Inc
AMCR,12719020266.0,XNYS,New York Stock Exchange Inc
AMCX,436730179.0,XNAS,Nasdaq All Markets
AMD,276096000000.0,XNAS,Nasdaq All Markets
AMDS,1419013.0,XNAS,Nasdaq All Markets
AME,38394510585.0,XNYS,New York Stock Exchange Inc
AMED,3055460280.0,XNAS,Nasdaq All Markets
AMEH,2174269288.0,XNAS,Nasdaq All Markets
AMG,5220729571.0,XNYS,New York Stock Exchange Inc
AMGN,155217683171.0,XNAS,Nasdaq All Markets
AMH,12270237790.0,XNYS,New York Stock Exchange Inc
AMH-G,12238850932.0,XNYS,New York Stock Exchange Inc
AMH-H,12534075015.0,XNYS,New York Stock Exchange Inc
AMID,47745000.0,XNAS,Nasdaq All Markets
AMIX,79924012.0,XNAS,Nasdaq All Markets
AMK,2346413986.0,XNYS,New York Stock Exchange Inc
AMKR,7452656000.0,XNAS,Nasdaq All Markets
AMLI,162923763.0,XNAS,Nasdaq All Markets
AMLX,1040448574.0,XNAS,Nasdaq All Markets
AMN,2934704612.0,XNYS,New York Stock Exchange Inc
AMNB,475859748.0,XNAS,Nasdaq All Markets
AMP,39467526842.0,XNYS,New York Stock Exchange Inc
AMPG,19955453.0,XNAS,Nasdaq All Markets
AMPGW,19955453.0,XNAS,Nasdaq All Markets
AMPH,2636584364.0,XNAS,Nasdaq All Markets
AMPL,1142493040.0,XNAS,Nasdaq All Markets
AMPS,1066822585.0,XNYS,New York Stock Exchange Inc
AMPX,354468505.0,XNYS,New York Stock Exchange Inc
AMPY,234189233.0,XNYS,New York Stock Exchange Inc
AMR,5786920238.0,XNYS,New York Stock Exchange Inc
AMRC,758465901.0,XNYS,New York Stock Exchange Inc
AMRK,598103312.0,XNAS,Nasdaq All Markets
AMRN,116586339.0,XNAS,Nasdaq All Markets
