date,symbol,close
2024-01-25,SWKS,107.03
2024-01-26,SWKS,104.59
2024-01-29,SWKS,106.15
2024-01-30,SWKS,104.33
2024-01-31,SWKS,104.46
2024-02-01,SWKS,102.96
2024-02-02,SWKS,101.16
2024-02-05,SWKS,100.79
2024-02-06,SWKS,103.05
2024-02-07,SWKS,103.71
2024-02-08,SWKS,104.59
2024-02-09,SWKS,105.05
2024-02-12,SWKS,106.12
2024-02-13,SWKS,103.38
2024-02-14,SWKS,105.83
2024-02-15,SWKS,105.57
2024-02-16,SWKS,103.75
2024-02-20,SWKS,103.92
2024-02-21,SWKS,103.52
2024-02-22,SWKS,104.93
2024-02-23,SWKS,103.85
2024-02-26,SWKS,103.73
2024-02-27,SWKS,104.17
2024-02-28,SWKS,101.82
2024-02-29,SWKS,104.92
2023-09-01,ALB,200.26
2023-09-05,ALB,200.8
2023-09-06,ALB,189.83
2023-09-07,ALB,187.57
2023-09-08,ALB,184.43
2023-09-11,ALB,186.32
2023-09-12,ALB,184.35
2023-09-13,ALB,184.58
2023-09-14,ALB,184.97
2023-09-15,ALB,183.84
2023-09-18,ALB,181.62
2023-09-19,ALB,179.99
2023-09-20,ALB,174.44
2023-09-21,ALB,168.94
2023-09-22,ALB,168.21
2023-09-25,ALB,166.89
2023-09-26,ALB,163.65
2023-09-27,ALB,162.63
2023-09-28,ALB,172.4
2023-09-29,ALB,170.04
2023-10-02,ALB,162.41
2023-10-03,ALB,156.77
2023-10-04,ALB,158.4
2023-10-05,ALB,155.03
2023-10-06,ALB,159.84
2023-10-09,ALB,155.75
2023-10-10,ALB,162.08
2023-10-11,ALB,164.8
2023-10-12,ALB,170.8
2023-10-13,ALB,163.38
2023-10-16,ALB,167.73
2023-10-17,ALB,169.48
2023-10-18,ALB,152.89
2023-10-19,ALB,144.56
2023-10-20,ALB,138.68
2023-10-23,ALB,136.28
2023-10-24,ALB,139.24
2023-10-25,ALB,135.32
2023-10-26,ALB,135.21
2023-10-27,ALB,134.44
2023-10-30,ALB,127.41
2023-10-31,ALB,126.78
2023-11-01,ALB,122.96
2023-11-02,ALB,124.62
2023-11-03,ALB,127.98
2023-11-06,ALB,119.46
2023-11-07,ALB,122.11
2023-11-08,ALB,119.01
2023-11-09,ALB,114.6
2023-11-10,ALB,116.98
2023-11-13,ALB,114.19
2023-11-14,ALB,125.32
2023-11-15,ALB,127.72
2023-11-16,ALB,122.6
2023-11-17,ALB,127.39
2023-11-20,ALB,130.36
2023-11-21,ALB,126.13
2023-11-22,ALB,126.59
2023-11-24,ALB,128.87
2023-11-27,ALB,120.78
2023-11-28,ALB,123.91
2023-11-29,ALB,123.38
2023-11-30,ALB,121.27
2023-12-01,ALB,126.16
2023-12-04,ALB,119.98
2023-12-05,ALB,113.26
2023-12-06,ALB,118.3
2023-12-07,ALB,125.35
2023-12-08,ALB,127.99
2023-12-11,ALB,126.54
2023-12-12,ALB,127.94
2023-12-13,ALB,140.06
2023-12-14,ALB,145.89
2023-12-15,ALB,147.06
2023-12-18,ALB,145.91
2023-12-19,ALB,148.93
2023-12-20,ALB,142.53
2023-12-21,ALB,145.45
2023-12-22,ALB,150.09
2023-12-26,ALB,152.39
2023-12-27,ALB,149.32
2023-12-28,ALB,149.43
2023-12-29,ALB,144.48
2024-01-02,ALB,146.89
2024-01-03,ALB,140.18
2024-01-04,ALB,135.93
2024-01-05,ALB,135.83
2024-01-08,ALB,136.58
2024-01-09,ALB,133.67
2024-01-10,ALB,132.94
2024-01-11,ALB,128.65
2024-01-12,ALB,126.05
2024-01-16,ALB,125.95
2024-01-17,ALB,120.7
2024-01-18,ALB,117.99
2024-01-19,ALB,115.13
2024-01-22,ALB,120.75
2024-01-23,ALB,122.59
2024-01-24,ALB,121.69
2024-01-25,ALB,118.45
2024-01-26,ALB,119.84
2024-01-29,ALB,123.2
2024-01-30,ALB,120.31
2024-01-31,ALB,114.74
2024-02-01,ALB,116.78
2024-02-02,ALB,114.25
2024-02-05,ALB,108.73
2024-02-06,ALB,113.02
2024-02-07,ALB,115.05
2024-02-08,ALB,114.33
2024-02-09,ALB,115.78
2024-02-12,ALB,120.09
2024-02-13,ALB,112.2
2024-02-14,ALB,114.39
2024-02-15,ALB,117.5
2024-02-16,ALB,122.59
2024-02-20,ALB,114.82
2024-02-21,ALB,118.55
2024-02-22,ALB,118.18
2024-02-23,ALB,120.65
2024-02-26,ALB,121.52
2024-02-27,ALB,128.59
2024-02-28,ALB,132.06
2024-02-29,ALB,137.85
2023-09-07,SWIN,6.08
2023-09-08,SWIN,4.91
2023-09-11,SWIN,3.28
2023-09-12,SWIN,3.17
2023-09-13,SWIN,2.73
2023-09-14,SWIN,2.59
2023-09-15,SWIN,2.33
2023-09-18,SWIN,2.08
2023-09-19,SWIN,2.45
2023-09-20,SWIN,3.0
2023-09-21,SWIN,4.05
2023-09-22,SWIN,3.7
2023-09-25,SWIN,3.26
2023-09-26,SWIN,3.76
2023-09-27,SWIN,3.27
2023-09-28,SWIN,3.14
2023-09-29,SWIN,3.13
2023-10-02,SWIN,2.75
2023-10-03,SWIN,2.76
2023-10-04,SWIN,2.7
2023-10-05,SWIN,2.5
2023-10-06,SWIN,2.25
2023-10-09,SWIN,2.14
2023-10-10,SWIN,2.66
2023-10-11,SWIN,2.51
2023-10-12,SWIN,2.32
2023-10-13,SWIN,2.24
2023-10-16,SWIN,2.11
2023-10-17,SWIN,2.35
2023-10-18,SWIN,2.19
2023-10-19,SWIN,2.15
2023-10-20,SWIN,2.25
2023-10-23,SWIN,2.09
2023-10-24,SWIN,2.18
2023-10-25,SWIN,2.11
2023-10-26,SWIN,2.14
2023-10-27,SWIN,2.11
2023-10-30,SWIN,2.04
2023-10-31,SWIN,2.0
2023-11-01,SWIN,2.07
2023-11-02,SWIN,2.21
2023-11-03,SWIN,2.49
2023-11-06,SWIN,2.51
2023-11-07,SWIN,2.54
2023-11-08,SWIN,2.75
2023-11-09,SWIN,2.96
2023-11-10,SWIN,2.55
2023-11-13,SWIN,2.31
2023-11-14,SWIN,2.35
2023-11-15,SWIN,2.41
2023-11-16,SWIN,2.32
2023-11-17,SWIN,2.36
2023-11-20,SWIN,2.54
2023-11-21,SWIN,2.68
2023-11-22,SWIN,2.71
2023-11-24,SWIN,2.79
2023-11-27,SWIN,2.56
2023-11-28,SWIN,3.0
2023-11-29,SWIN,2.92
2023-11-30,SWIN,2.76
2023-12-01,SWIN,2.85
2023-12-04,SWIN,2.87
2023-12-05,SWIN,2.73
2023-12-06,SWIN,2.86
2023-12-07,SWIN,3.26
2023-12-08,SWIN,3.375
2023-12-11,SWIN,2.93
2023-12-12,SWIN,2.89
2023-12-13,SWIN,2.78
2023-12-14,SWIN,2.9
2023-12-15,SWIN,2.83
2023-12-18,SWIN,2.81
2023-12-19,SWIN,3.115
2023-12-20,SWIN,3.16
2023-12-21,SWIN,3.12
2023-12-22,SWIN,3.08
2023-12-26,SWIN,3.05
2023-12-27,SWIN,3.0055
2023-12-28,SWIN,2.92
2023-12-29,SWIN,2.99
2024-01-02,SWIN,2.81
2024-01-03,SWIN,2.5401
2024-01-04,SWIN,2.52
2024-01-05,SWIN,2.5
2024-01-08,SWIN,2.5
2024-01-09,SWIN,2.36
2024-01-10,SWIN,2.11
2024-01-11,SWIN,2.36
2024-01-12,SWIN,2.23
2024-01-16,SWIN,2.54
2024-01-17,SWIN,2.475
2024-01-18,SWIN,2.71
2024-01-19,SWIN,3.08
2024-01-22,SWIN,3.56
2024-01-23,SWIN,3.272
2024-01-24,SWIN,4.35
2024-01-25,SWIN,4.77
2024-01-26,SWIN,5.92
2024-01-29,SWIN,6.45
2024-01-30,SWIN,5.7
2024-01-31,SWIN,5.1
2024-02-01,SWIN,3.99
2024-02-02,SWIN,4.09
2024-02-05,SWIN,3.72
2024-02-06,SWIN,4.54
2024-02-07,SWIN,5.17
2024-02-08,SWIN,5.29
2024-02-09,SWIN,5.8
2024-02-12,SWIN,6.6101
2024-02-13,SWIN,7.11
2024-02-14,SWIN,6.56
2024-02-15,SWIN,6.26
2024-02-16,SWIN,6.54
2024-02-20,SWIN,7.1
2024-02-21,SWIN,7.5201
2024-02-22,SWIN,7.25
2024-02-23,SWIN,8.3
2024-02-26,SWIN,9.11
2024-02-27,SWIN,10.2
2024-02-28,SWIN,12.14
2024-02-29,SWIN,10.93
2023-09-01,STRV,28.89
2023-09-05,STRV,28.78
2023-09-06,STRV,28.59
2023-09-07,STRV,28.51
2023-09-08,STRV,28.56
2023-09-11,STRV,28.76
2023-09-12,STRV,28.59
2023-09-13,STRV,28.63
2023-09-14,STRV,28.86
2023-09-15,STRV,28.51
2023-09-18,STRV,28.53
2023-09-19,STRV,28.47
2023-09-20,STRV,28.2
2023-09-21,STRV,27.74
2023-09-22,STRV,27.67
2023-09-25,STRV,27.775
2023-09-26,STRV,27.38
2023-09-27,STRV,27.3
2023-09-28,STRV,27.49
2023-09-29,STRV,27.4
2023-10-02,STRV,27.41
2023-10-03,STRV,27.01
2023-10-04,STRV,27.24
2023-10-05,STRV,27.22
2023-10-06,STRV,27.55
2023-10-09,STRV,27.74
2023-10-10,STRV,27.88
2023-10-11,STRV,28.0
2023-10-12,STRV,27.8287
2023-10-13,STRV,27.69
2023-10-16,STRV,27.97
2023-10-17,STRV,27.98
2023-10-18,STRV,27.59
2023-10-19,STRV,27.36
2023-10-20,STRV,27.02
2023-10-23,STRV,26.95
2023-10-24,STRV,27.17
2023-10-25,STRV,26.78
2023-10-26,STRV,26.45
2023-10-27,STRV,26.34
2023-10-30,STRV,26.65
2023-10-31,STRV,26.82
2023-11-01,STRV,27.11
2023-11-02,STRV,27.63
2023-11-03,STRV,27.89
2023-11-06,STRV,27.95
2023-11-07,STRV,28.05
2023-11-08,STRV,28.07
2023-11-09,STRV,27.85
2023-11-10,STRV,28.29
2023-11-13,STRV,28.27
2023-11-14,STRV,28.81
2023-11-15,STRV,28.86
2023-11-16,STRV,28.9
2023-11-17,STRV,28.94
2023-11-20,STRV,29.17
2023-11-21,STRV,29.11
2023-11-22,STRV,29.2225
2023-11-24,STRV,29.25
2023-11-27,STRV,29.2
2023-11-28,STRV,29.24
2023-11-29,STRV,29.23
2023-11-30,STRV,29.34
2023-12-01,STRV,29.51
2023-12-04,STRV,29.35
2023-12-05,STRV,29.35
2023-12-06,STRV,29.23
2023-12-07,STRV,29.46
2023-12-08,STRV,29.59
2023-12-11,STRV,29.7
2023-12-12,STRV,29.85
2023-12-13,STRV,30.24
2023-12-14,STRV,30.33
2023-12-15,STRV,30.32
2023-12-18,STRV,30.48
2023-12-19,STRV,30.66
2023-12-20,STRV,30.1
2023-12-21,STRV,30.41
2023-12-22,STRV,30.47
2023-12-26,STRV,30.59
2023-12-27,STRV,30.64
2023-12-28,STRV,30.66
2023-12-29,STRV,30.57
2024-01-02,STRV,30.37
2024-01-03,STRV,30.12
2024-01-04,STRV,30.03
2024-01-05,STRV,30.08
2024-01-08,STRV,30.245
2024-01-09,STRV,30.5
2024-01-10,STRV,30.7
2024-01-11,STRV,30.69
2024-01-12,STRV,30.7
2024-01-16,STRV,30.58
2024-01-17,STRV,30.43
2024-01-18,STRV,30.65
2024-01-19,STRV,31.02
2024-01-22,STRV,31.11
2024-01-23,STRV,31.22
2024-01-24,STRV,31.26
2024-01-25,STRV,31.4
2024-01-26,STRV,31.37
2024-01-29,STRV,31.66
2024-01-30,STRV,31.57
2024-01-31,STRV,31.0
2024-02-01,STRV,31.47
2024-02-02,STRV,31.79
2024-02-05,STRV,31.68
2024-02-06,STRV,31.73
2024-02-07,STRV,32.09
2024-02-08,STRV,32.09
2024-02-09,STRV,32.32
2024-02-12,STRV,32.3
2024-02-13,STRV,31.82
2024-02-14,STRV,32.08
2024-02-15,STRV,32.37
2024-02-16,STRV,32.18
2024-02-20,STRV,31.98
2024-02-21,STRV,31.99
2024-02-22,STRV,32.65
2024-02-23,STRV,32.6
2024-02-26,STRV,32.57
2024-02-27,STRV,32.64
2024-02-28,STRV,32.59
2024-02-29,STRV,32.74
2023-09-01,VOO,414.71
2023-09-05,VOO,412.9
2023-09-06,VOO,410.05
2023-09-07,VOO,408.83
2023-09-08,VOO,409.39
2023-09-11,VOO,412.08
2023-09-12,VOO,409.87
2023-09-13,VOO,410.35
2023-09-14,VOO,413.9
2023-09-15,VOO,408.74
2023-09-18,VOO,409.19
2023-09-19,VOO,408.37
2023-09-20,VOO,404.55
2023-09-21,VOO,397.92
2023-09-22,VOO,396.96
2023-09-25,VOO,398.61
2023-09-26,VOO,392.76
2023-09-27,VOO,392.85
2023-09-28,VOO,393.64
2023-09-29,VOO,392.7
2023-10-02,VOO,392.67
2023-10-03,VOO,387.39
2023-10-04,VOO,390.24
2023-10-05,VOO,389.91
2023-10-06,VOO,394.56
2023-10-09,VOO,397.19
2023-10-10,VOO,399.24
2023-10-11,VOO,400.93
2023-10-12,VOO,398.52
2023-10-13,VOO,396.42
2023-10-16,VOO,400.57
2023-10-17,VOO,400.58
2023-10-18,VOO,395.22
2023-10-19,VOO,391.87
2023-10-20,VOO,386.99
2023-10-23,VOO,386.31
2023-10-24,VOO,389.2
2023-10-25,VOO,383.71
2023-10-26,VOO,379.0
2023-10-27,VOO,377.32
2023-10-30,VOO,381.86
2023-10-31,VOO,384.17
2023-11-01,VOO,388.4
2023-11-02,VOO,395.78
2023-11-03,VOO,399.44
2023-11-06,VOO,400.21
2023-11-07,VOO,401.34
