symbol,date,close,high,low,open,volume
HCI,2024-01-04,89.64,95.26,89.59,93.31,127044
IOT,2024-01-05,30.5,30.84,29.8,29.89,1473117
HCI,2024-01-05,89.46,92.6,88.765,89.0,98559
CRMT,2024-01-05,62.7,66.26,62.445,63.09,70965
IOT,2024-01-08,32.23,32.26,30.7,30.77,2794732
CRMT,2024-01-08,64.74,64.76,62.01,62.7,63368
HCI,2024-01-08,88.85,90.35,86.79,89.02,132900
HCI,2024-01-09,87.84,88.8,87.43,88.46,109302
CRMT,2024-01-09,61.92,65.03,61.67,63.22,60069
IOT,2024-01-09,32.95,32.99,31.84,31.84,2607665
HCI,2024-01-10,86.27,88.25,85.88,87.73,57616
CRMT,2024-01-10,63.09,63.24,61.015,62.25,72817
IOT,2024-01-10,32.86,33.2379,32.2,33.0,2364981
CRMT,2024-01-11,62.16,62.75,60.835,62.41,83652
IOT,2024-01-11,33.25,33.63,32.02,32.97,2436986
HCI,2024-01-11,85.62,85.81,83.2267,85.01,236846
CRMT,2024-01-12,60.62,63.1,60.355,63.1,73533
HCI,2024-01-12,85.88,88.155,85.88,87.03,72906
IOT,2024-01-12,33.17,33.79,32.78,33.38,1708972
HCI,2024-01-16,84.74,86.86,84.44,85.63,65652
IOT,2024-01-16,33.63,34.3677,32.81,32.83,3432493
CRMT,2024-01-16,60.59,60.95,59.5,60.0,108770
HCI,2024-01-17,88.23,88.365,81.35,83.46,89323
IOT,2024-01-17,32.36,33.28,31.33,32.98,3380678
CRMT,2024-01-17,60.18,62.12,59.53,59.53,89705
IOT,2024-01-18,31.85,33.17,31.46,33.02,2565738
HCI,2024-01-18,89.44,89.705,86.743,88.44,65135
CRMT,2024-01-18,61.0,62.56,60.18,61.16,76995
HCI,2024-01-19,88.37,90.0,88.21,90.0,44663
IOT,2024-01-19,32.26,32.39,31.49,32.11,1806390
CRMT,2024-01-19,62.93,63.385,60.38,61.62,64542
CRMT,2024-01-22,64.88,65.315,63.74,63.76,54741
IOT,2024-01-22,33.3,35.18,32.68,33.18,4285373
HCI,2024-01-22,89.91,90.44,88.37,88.37,61706
IOT,2024-01-23,32.57,33.6,31.96,33.56,3693269
CRMT,2024-01-23,62.55,66.07,62.49,66.07,43247
HCI,2024-01-23,94.93,95.99,88.23,89.07,248414
HCI,2024-01-24,91.99,96.0,91.96,96.0,193288
IOT,2024-01-24,31.26,33.26,31.24,33.03,2517167
CRMT,2024-01-24,62.61,63.51,61.12,63.51,70088
IOT,2024-01-25,31.07,31.94,30.65,31.68,2955600
CRMT,2024-01-25,63.42,64.74,61.474,64.29,60488
HCI,2024-01-25,91.16,93.15,90.92,93.15,53850
IOT,2024-01-26,30.85,32.11,30.785,30.94,2347981
CRMT,2024-01-26,62.26,63.455,62.1,63.35,72103
PBM,2024-01-26,2.35,3.93,2.05,3.55,208077
HCI,2024-01-26,92.26,92.27,91.08,91.55,43845
HCI,2024-01-29,92.12,92.78,90.85,92.03,85676
IOT,2024-01-29,32.29,32.32,30.89,31.04,3221650
PBM,2024-01-29,2.0,2.3399,1.8,2.21,100913
CRMT,2024-01-29,64.7,64.78,62.0,62.63,86962
CRMT,2024-01-30,62.86,64.49,62.3,64.06,53870
HCI,2024-01-30,91.48,92.53,90.3,92.29,50477
PBM,2024-01-30,1.85,2.0,1.85,2.0,30435
IOT,2024-01-30,32.09,32.6,31.5,32.34,3052747
IOT,2024-01-31,31.4,32.378,30.81,31.6,2888767
