symbol,marketcap,exchange,exchangeName,marketcapType
AGNCP,6314983062.0,XNAS,Nasdaq All Markets,Mid-Cap
AGNG,55873552.0,XNAS,Nasdaq All Markets,Micro-Cap
AGO,4748287599.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AGR,11645672251.0,XNYS,New York Stock Exchange Inc,Large-Cap
AGRI,1148806.0,XNAS,Nasdaq All Markets,Micro-Cap
AGRIW,1309555.0,XNAS,Nasdaq All Markets,Micro-Cap
AGRO,1023258073.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGRX,3526752.0,XNAS,Nasdaq All Markets,Micro-Cap
AGS,355571594.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGTI,964137725.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGX,606084706.0,XNYS,New York Stock Exchange Inc,Small-Cap
AGYS,2436095969.0,XNAS,Nasdaq All Markets,Mid-Cap
AGZD,151317000.0,XNAS,Nasdaq All Markets,Micro-Cap
AHCO,1003145913.0,XNAS,Nasdaq All Markets,Small-Cap
AHG,39786870.0,XNAS,Nasdaq All Markets,Micro-Cap
AHH,769046870.0,XNYS,New York Stock Exchange Inc,Small-Cap
AHH-A,804769457.0,XNYS,New York Stock Exchange Inc,Small-Cap
AHI,12933648.0,XNAS,Nasdaq All Markets,Micro-Cap
AHL-C,284449000.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AHL-D,212300000.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AHL-E,206300000.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AHR,0.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AHT,58293751.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AHT-D,59026520.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AHT-F,58983624.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AHT-G,59534286.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AHT-H,58983623.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AHT-I,58983620.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AI,3485137890.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AIA,1379997000.0,XNAS,Nasdaq All Markets,Small-Cap
AIB,42766376.0,XNAS,Nasdaq All Markets,Micro-Cap
AIBBR,42766376.0,XNAS,Nasdaq All Markets,Micro-Cap
AIBBU,42766373.0,XNAS,Nasdaq All Markets,Micro-Cap
AIF,209294456.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AIG,49030497555.0,XNYS,New York Stock Exchange Inc,Large-Cap
AIG-A,48933877996.0,XNYS,New York Stock Exchange Inc,Large-Cap
AIH,24729660.0,XNAS,Nasdaq All Markets,Micro-Cap
AIHS,5951321.0,XNAS,Nasdaq All Markets,Micro-Cap
AIMAU,83216500.0,XNAS,Nasdaq All Markets,Micro-Cap
AIMBU,94559940.0,XNAS,Nasdaq All Markets,Micro-Cap
AIMD,18466288.0,XNAS,Nasdaq All Markets,Micro-Cap
AIMDW,19239437.0,XNAS,Nasdaq All Markets,Micro-Cap
AIN,2789904000.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AIO,663639284.0,XNYS,New York Stock Exchange Inc,Small-Cap
AIP,257612137.0,XNAS,Nasdaq All Markets,Micro-Cap
AIQ,1192746065.0,XNAS,Nasdaq All Markets,Small-Cap
AIR,2242167587.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AIRC,4595727109.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AIRE,61329706.0,XNAS,Nasdaq All Markets,Micro-Cap
AIRG,40208280.0,XNAS,Nasdaq All Markets,Micro-Cap
AIRL,514034.0,XNAS,Nasdaq All Markets,Micro-Cap
AIRR,673374618.0,XNAS,Nasdaq All Markets,Small-Cap
AIRS,392886381.0,XNAS,Nasdaq All Markets,Small-Cap
AIRT,42125055.0,XNAS,Nasdaq All Markets,Micro-Cap
AIRTP,49705609.0,XNAS,Nasdaq All Markets,Micro-Cap
AISP,18836269.0,XNAS,Nasdaq All Markets,Micro-Cap
AISPW,19640256.0,XNAS,Nasdaq All Markets,Micro-Cap
AIT,7101647247.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AITR,61310400.0,XNAS,Nasdaq All Markets,Micro-Cap
AITRR,61310400.0,XNAS,Nasdaq All Markets,Micro-Cap
AITRU,61310398.0,XNAS,Nasdaq All Markets,Micro-Cap
AIU,17828218779.0,XNYS,New York Stock Exchange Inc,Large-Cap
AIV,1073519984.0,XNYS,New York Stock Exchange Inc,Small-Cap
AIXI,155621036.0,XNAS,Nasdaq All Markets,Micro-Cap
AIZ,9019817236.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AIZN,9058942733.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AJG,50766726000.0,XNYS,New York Stock Exchange Inc,Large-Cap
AJX,123062970.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AJXA,128282166.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AKA,101596128.0,XNYS,New York Stock Exchange Inc,Micro-Cap
AKAM,18956511466.0,XNAS,Nasdaq All Markets,Large-Cap
AKAN,1941762.0,XNAS,Nasdaq All Markets,Micro-Cap
AKBA,315216382.0,XNAS,Nasdaq All Markets,Small-Cap
AKLI,18011243.0,XNAS,Nasdaq All Markets,Micro-Cap
AKO.A,2078509502.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AKO.B,2131510777.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AKR,1595055867.0,XNYS,New York Stock Exchange Inc,Small-Cap
AKRO,1154104000.0,XNAS,Nasdaq All Markets,Small-Cap
AKTS,65964584.0,XNAS,Nasdaq All Markets,Micro-Cap
AKTX,13567145.0,XNAS,Nasdaq All Markets,Micro-Cap
AKYA,270409713.0,XNAS,Nasdaq All Markets,Micro-Cap
AL,4593752552.0,XNYS,New York Stock Exchange Inc,Mid-Cap
AL-A,4684996764.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ALAR,74796222.0,XNAS,Nasdaq All Markets,Micro-Cap
ALB,13296125718.0,XNYS,New York Stock Exchange Inc,Large-Cap
ALBT,4509809.0,XNAS,Nasdaq All Markets,Micro-Cap
ALC,37792311000.0,XNYS,New York Stock Exchange Inc,Large-Cap
ALCC,325283538.0,XNYS,New York Stock Exchange Inc,Small-Cap
ALCE,8133807.0,XNAS,Nasdaq All Markets,Micro-Cap
ALCO,223860089.0,XNAS,Nasdaq All Markets,Micro-Cap
ALCY,127486570.0,XNAS,Nasdaq All Markets,Micro-Cap
ALCYU,127486571.0,XNAS,Nasdaq All Markets,Micro-Cap
ALDX,189701218.0,XNAS,Nasdaq All Markets,Micro-Cap
ALE,3298628273.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ALEC,590936990.0,XNAS,Nasdaq All Markets,Small-Cap
ALEX,1242909758.0,XNYS,New York Stock Exchange Inc,Small-Cap
ALG,2594004166.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ALGM,5911581718.0,XNAS,Nasdaq All Markets,Mid-Cap
ALGN,22526390210.0,XNAS,Nasdaq All Markets,Large-Cap
ALGS,50953657.0,XNAS,Nasdaq All Markets,Micro-Cap
ALGT,1420203072.0,XNAS,Nasdaq All Markets,Small-Cap
ALHC,1255622586.0,XNAS,Nasdaq All Markets,Small-Cap
ALIM,201804838.0,XNAS,Nasdaq All Markets,Micro-Cap
ALIT,4673535168.0,XNYS,New York Stock Exchange Inc,Mid-Cap
ALK,4706590845.0,XNYS,New York Stock Exchange Inc,Mid-Cap
