,close,high,low,open,priceDate,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent,Ticker
805,419.74,419.87,417.5,418.65,2023-12-04,VOO,5806079,HISTORICAL_PRICES,VOO,,2023-12-04,1703542796000,0.012128957584818379,0.012128957584818379,418.65,419.74,419.87,417.5,5806079,415.215,416.296,416.425,414.074,5806079,"Dec 4, 23",-2.1200000000000045,-0.005,VOO
964,488.03,488.305,485.39,487.575,2024-01-25,SPY,72524989,HISTORICAL_PRICES,SPY,,2024-01-25,1706891810000,0.08165074580553641,0.08165074580553641,487.575,488.03,488.305,485.39,72524989,487.575,488.03,488.305,485.39,72524989,"Jan 25, 24",2.6399999999999864,0.0054,SPY
784,395.78,395.91,391.92,391.93,2023-11-02,VOO,4752164,HISTORICAL_PRICES,VOO,,2023-11-02,1703542785000,-0.045646355284415636,-0.045646355284415636,391.93,395.78,395.9096,391.92,4752164,388.714,392.532,392.661,388.704,4752164,"Nov 2, 23",7.3799999999999955,0.019,VOO
703,30.08,30.2259,30.0,30.05,2024-01-05,STRV,128948,HISTORICAL_PRICES,STRV,,2024-01-05,1704511824000,0.04119072343371401,0.04119072343371401,30.05,30.08,30.2259,30.0,128948,30.05,30.08,30.2259,30.0,128948,"Jan 5, 24",0.04999999999999716,0.0017,STRV
440,127.99,133.25,127.73,129.0,2023-12-08,ALB,4844856,HISTORICAL_PRICES,ALB,,2023-12-08,1702938095000,-0.36088085488864474,-0.36088085488864474,129.0,127.99,133.25,127.73,4844856,128.632,127.625,132.869,127.365,4844856,"Dec 8, 23",2.6400000000000006,0.0211,ALB
168,80.81,83.54,79.0,81.61,2023-11-03,ENPH,6112964,HISTORICAL_PRICES,ENPH,,2023-11-03,1699072335000,-0.3722520003107278,-0.3722520003107278,81.61,80.81,83.54,79.0,6112964,81.61,80.81,83.54,79.0,6112964,"Nov 3, 23",1.8900000000000006,0.0239,ENPH
633,27.38,27.63,27.33,27.61,2023-09-26,STRV,88693,HISTORICAL_PRICES,STRV,,2023-09-26,1703200683000,-0.05226722049151961,-0.05226722049151961,27.61,27.38,27.63,27.33,88693,27.2269,27.0001,27.2466,26.9508,88693,"Sep 26, 23",-0.3949999999999996,-0.0142,STRV
123,34.55,35.34,33.4503,33.55,2024-02-29,IOT,14216798,HISTORICAL_PRICES,IOT,,2024-02-29,1709258497000,0.11703847397348845,0.11703847397348845,33.55,34.55,35.34,33.4503,14216798,33.55,34.55,35.34,33.4503,14216798,"Feb 29, 24",1.3399999999999963,0.0403,IOT
422,114.19,116.88,112.0,114.61,2023-11-13,ALB,4332936,HISTORICAL_PRICES,ALB,,2023-11-13,1702938101000,-0.42979127134724854,-0.42979127134724854,114.61,114.19,116.88,112.0,4332936,114.283,113.864,116.546,111.68,4332936,"Nov 13, 23",-2.7900000000000063,-0.0239,ALB
614,10.2,10.88,8.68,9.22,2024-02-27,SWIN,143500,HISTORICAL_PRICES,SWIN,,2024-02-27,1709089264000,0.6776315789473683,0.6776315789473683,9.22,10.2,10.88,8.68,143500,9.22,10.2,10.88,8.68,143500,"Feb 27, 24",1.0899999999999999,0.1196,SWIN
918,450.23,450.56,448.12,449.22,2023-11-16,SPY,66665797,HISTORICAL_PRICES,SPY,,2023-11-16,1703110594000,-0.0021277067310888527,-0.0021277067310888527,449.22,450.23,450.56,448.12,66665797,447.406,448.412,448.741,446.31,66665797,"Nov 16, 23",0.5500000000000114,0.0012,SPY
154,127.11,128.23,121.01,121.3,2023-10-16,ENPH,3111084,HISTORICAL_PRICES,ENPH,,2023-10-16,1697504440000,-0.012584479142390977,-0.012584479142390977,121.3,127.11,128.23,121.01,3111084,121.3,127.11,128.23,121.01,3111084,"Oct 16, 23",3.299999999999997,0.0267,ENPH
471,118.45,123.37,115.96,122.0,2024-01-25,ALB,2810373,HISTORICAL_PRICES,ALB,,2024-01-25,1706234425000,-0.40851892539698387,-0.40851892539698387,122.0,118.45,123.37,115.96,2810373,122.0,118.45,123.37,115.96,2810373,"Jan 25, 24",-3.239999999999995,-0.0266,ALB
